Team,Player,Games Played,Win%,Score,Goals,Assists,Saves,Shots,Position,Prize$
Northern Gaming,Deevo,34,70.59,9040,25,16,43,102,1,"55,000"
Northern Gaming,Turbopolsa,34,70.59,8975,25,24,50,104,1,"55,000"
Northern Gaming,remkoe,34,70.59,8510,28,16,44,101,1,"55,000"
Mock-it EU,Kaydop,28,53.57,6535,16,16,42,75,2,"30,000"
Mock-it EU,miztik,28,53.57,6975,18,9,45,75,2,"30,000"
Mock-it EU,Fairy Peak,28,53.57,6610,11,11,44,70,2,"30,000"
NRG Esports,Fireburner,20,50,4380,12,10,28,46,3,"16,000"
NRG Esports,GarrettG,20,50,5040,15,6,27,63,3,"16,000"
NRG Esports,Jacob,20,50,4665,10,9,41,33,3,"16,000"
The Leftovers,Ferra,19,52.63,4345,15,11,25,53,4,"11,000"
The Leftovers,Sikii,19,52.63,4645,12,8,33,43,4,"11,000"
The Leftovers,Snaski,19,52.63,5005,15,13,27,40,4,"11,000"
FlipSid3 Tactics,Markydooda,14,42.86,3005,9,7,15,37,5.5,"8,000"
FlipSid3 Tactics,kuxir97,14,42.86,3640,9,7,24,40,5.5,"8,000"
FlipSid3 Tactics,gReazy,14,42.86,3600,8,7,18,46,5.5,"8,000"
Denial Esports,Lethamyr,13,46.15,3300,10,4,16,39,7.5,"6,000"
Alpha Sydney,Drippay,13,38.46,3055,6,5,20,34,7.5,"6,000"
Alpha Sydney,Torsos,13,38.46,3015,6,5,27,18,7.5,"6,000"
Alpha Sydney,Jake,13,38.46,2875,4,3,24,27,7.5,"6,000"
Denial Esports,SadJunior,13,46.15,2765,7,9,22,25,7.5,"6,000"
Denial Esports,CorruptedG,13,46.15,2935,8,8,21,22,7.5,"6,000"
Rogue,Turtle,11,36.36,2300,5,9,14,27,5.5,"8,000"
Rogue,Sizz,11,36.36,3110,7,8,26,22,5.5,"8,000"
Rogue,Matt,11,36.36,3390,14,4,17,33,5.5,"8,000"
Selfless Gaming,Timi,9,33.33,2365,3,6,16,21,9.5,"5,000"
Selfless Gaming,Mijo,9,33.33,1760,4,2,14,16,9.5,"5,000"
JAM Gaming,Montyconnor,7,14.29,1025,0,2,8,9,9.5,"5,000"
JAM Gaming,Bango,7,14.29,1490,5,0,13,20,9.5,"5,000"
JAM Gaming,Express,7,14.29,1430,3,4,8,13,9.5,"5,000"
Selfless Gaming,Dappur,5,40,1485,7,3,11,16,9.5,"5,000"
Selfless Gaming,Pluto,4,25,685,1,2,3,4,9.5,"5,000"
