Team,Player,Games Played,Win%,Score,Goals,Assists,Saves,Shots,Position,Prize$
FlipSid3 Tactics,Markydooda,26,65.38,6410,18,24,27,83,2,11000
FlipSid3 Tactics,kuxir97,26,65.38,7010,29,14,22,100,2,11000
FlipSid3 Tactics,M1k3Rules,26,65.38,6250,27,20,25,88,2,11000
iBP Cosmic,Kronovi,20,70,5400,24,10,37,41,1,27500
iBP Cosmic,Lachinio,20,70,4885,17,11,41,39,1,27500
iBP Cosmic,0ver Zer0,20,70,4945,13,14,29,48,1,27500
Northern Gaming,remkoe,17,52.94,4145,13,11,18,46,3,4950
Northern Gaming,gReazy,17,52.94,4270,12,15,13,47,3,4950
Northern Gaming,Maestro,17,52.94,4125,20,8,14,61,3,4950
The Flying Dutchmen,Vogan,15,40,3370,7,8,30,27,4,3850
The Flying Dutchmen,Jessie,15,40,2915,8,6,17,30,4,3850
The Flying Dutchmen,Dogu,15,40,3450,13,4,26,34,4,3850
Genesis,Espeon,13,38.46,2555,4,3,18,26,5.5,2750
Genesis,Pluto,13,38.46,2400,6,2,14,27,5.5,2750
Genesis,Quinn Lobdell,13,38.46,2280,6,5,17,25,5.5,2750
Exodus,Turtle,9,33.33,1700,3,4,12,19,5.5,2750
Exodus,Moses,9,33.33,1780,5,6,14,15,5.5,2750
Exodus,GarrettG,9,33.33,2380,9,3,17,20,5.5,2750
Mock-it EU ,Sikii,8,25,1555,3,2,10,20,7.5,1100
Mock-it EU ,Turbopolsa,8,25,1590,5,2,10,19,7.5,1100
Kings of Urban,SadJunior,8,25,1695,3,4,9,22,7.5,1100
Kings of Urban,Jacob,8,25,1940,7,6,11,16,7.5,1100
Kings of Urban,Fireburner,8,25,1640,5,3,10,17,7.5,1100
Mock-it EU,Paschy90,8,25,1450,2,4,12,15,7.5,1100
