Team,Player,Games Played,Win%,Score,Goals,Assists,Saves,Shots,Position,Prize$
FlipSid3 Tactics,gReazy,30,73.33,7845,15,16,43,83,1,"50,000"
FlipSid3 Tactics,kuxir,30,73.33,8895,26,19,47,93,1,"50,000"
FlipSid3 Tactics,Markydooda,30,73.33,7710,23,19,26,117,1,"50,000"
Mock-It Aces,Paschy90,26,46.15,6810,21,13,50,60,2,"25,000"
Mock-It Aces,ViolentPanda,26,46.15,6795,14,9,40,70,2,"25,000"
Mock-It Aces,Deevo,26,46.15,7105,13,20,48,59,2,"25,000"
Northern Gaming,miztik,19,52.63,4520,9,12,25,43,3,"15,000"
Northern Gaming,Maestro,19,52.63,4785,18,7,21,67,3,"15,000"
Northern Gaming,remkoe,19,52.63,4865,14,10,23,49,3,"15,000"
Take 3,Rizzo,14,50,3255,11,5,20,26,4,"10,000"
Take 3,Insolences,14,50,3560,6,6,24,28,4,"10,000"
Take 3,Zanejackey,14,50,3420,10,7,11,40,4,"10,000"
NRG Esports,Jacob,12,50,2790,9,5,13,24,5.5,"7,500"
Precision Z,Sikii,12,33.33,2900,9,6,22,23,5.5,"7,500"
Precision Z,Skyline,12,33.33,2415,2,9,14,21,5.5,"7,500"
Precision Z,Kaydop,12,33.33,3205,10,2,22,33,5.5,"7,500"
NRG Esports,Fireburner,12,50,2910,7,6,25,33,5.5,"7,500"
NRG Esports,SadJunior,12,50,2910,8,7,13,26,5.5,"7,500"
Orbit,Turtle,9,33.33,1745,3,2,12,16,7.5,"5,000"
Orbit,GarrettG,9,33.33,2975,9,3,15,29,7.5,"5,000"
Orbit,Moses,9,33.33,1960,2,4,13,17,7.5,"5,000"
Genesis,Klassux,6,0,1010,1,2,6,11,7.5,"5,000"
Genesis,Espeon,6,0,1190,1,1,11,13,7.5,"5,000"
Genesis,Pluto,6,0,700,1,0,3,4,7.5,"5,000"
